id,InventoryNumber,Initials,ExcavationDate,Context,Season,ShapeObject,ShapeDetails,Type,Ware,Material,ProductionPlace,Conservation,Measurements,NbFragments,NbDiscarded,JoinedTo_NbRemarks,DescriptionAndRemarks,Inclusions,Fabric,Glaze,Decoraction_Stamp,Chronology1stImpression,AbsoluteChronology,ToBeDr_Ph,Drawing,Photo,PhotoFabric,Square,Level,ProcessedBy,Zone,Label,Context_Survey_Homogenized
14118,TC2013.2967,MK,20-07-13,T13-147-1-C,2013,Open shape,rim,small vessel,red glazed,,Local,Medium,,1,0,,,,,int,,Archaic/Classical,,WAAR,ONWAAR,WAAR,ONWAAR,,,FvdE,SURVEY,,T13-147-1
14119,,MK,20-07-13,T13-147-1-C,2013,Open shape,wall,,black glaze,,Local,Medium,,1,0,,,,,int,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-147-1
14120,,MK,20-07-13,T13-147-1-C,2013,Undetermined,wall,,plain,,Local,Poor,,0,4,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-147-1
14121,,MK,20-07-13,T13-147-1-C,2013,Undetermined,wall,,coarse,,Local,Poor,,8,0,,Prehistoric? To be studied by MN,,,,,Prehistoric,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-147-1
14122,TC2013.2968,MP,19-07-13,T13-147-2-D,2013,Krater,neck to shoulder,,black glaze,,Local,Medium,,1,0,,,,,ext,,Archaic/Classical,,WAAR,ONWAAR,WAAR,ONWAAR,,,FvdE,SURVEY,,T13-147-2
14123,TC2013.2969,MP,19-07-13,T13-147-2-D,2013,Open shape,base,,black glaze,,Local,Medium,,1,0,,,,,int and foot,,Archaic/Classical,,WAAR,ONWAAR,WAAR,ONWAAR,,,FvdE,SURVEY,,T13-147-2
14124,TC2013.2970,MP,19-07-13,T13-147-2-D,2013,Storage vessel,base,,coarse,,Local,Medium,,1,0,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-147-2
14125,TC2013.2997,MP,19-07-13,T13-147-2-D,2013,Closed shape,wall,,black glaze,,Local,Medium,,1,0,,,,,,three rays perhaps extending from the foot,Archaic/Classical,,WAAR,ONWAAR,WAAR,ONWAAR,,,FvdE,SURVEY,,T13-147-2
14126,,MP,19-07-13,T13-147-2-D,2013,Open shape,wall,,black glaze,,Local,Medium,,1,0,,,,,int,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-147-2
14127,,MP,19-07-13,T13-147-2-D,2013,Open shape,wall,,red glazed,,Local,Medium,,1,0,,,,,ext,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-147-2
